DID	D	Informatiemodel	Enumeratie
409	Uitlaat (punt)	3	FysiekObjectTypeAansluitpunt
410	Uitlaat (punt)	3	FysiekObjectTypeAansluitpunt
411	Uitlaat (punt)	3	RioleringNodeVerschijningsvorm
412	Uitlegger	3	LozeLeidingVerschijningsvorm
413	Uitstroombak	3	UitlaatconstructieVerschijningsvorm
414	Vaar/moer	3	FysiekObjectVerbindingstype
415	Vacuümleiding	3	MechanischeRioolleidingVerschijningsvorm
416	Vacuümpompstation	3	GemaalVerschijningsvorm
417	Vacuümriolering	3	RioolstelselVerschijningsvorm
418	Valput	3	RioolputVerschijningsvorm
419	Velddrain	3	DrainVerschijningsvorm
421	Verbeterd gemengd rioolstelsel	3	RioolstelselVerschijningsvorm
422	Verbeterd gescheiden systeem	3	GescheidenSysteemVerschijningsvorm
423	Verbeterd hemelwaterstelsel	3	RioolstelselVerschijningsvorm
424	Verbeterde overstortput	3	RioolputVerschijningsvorm
425	Verlies	3	PutMaaiveldschematisering
426	Verlies	3	PutMaaiveldschematisering
427	Verlies	3	PutMaaiveldschematisering
428	Verloopstuk	3	VerbindingsstukVerschijningsvorm
429	Vertikale drainage	3	DrainagestelselVerschijningsvorm
430	Verzameldrain	3	DrainVerschijningsvorm
431	Verzameldrainage	3	DrainagestelselVerschijningsvorm
432	Verzamelput	3	DrainageputVerschijningsvorm
433	Vetvangput	3	AansluitputVerschijningsvorm
434	Vierkant	4	DoorlaatVorm
435	Vierkant	4	DekselVorm
436	Vierkant	4	StuwmuurVorm
437	Vijfhoekig	4	DoorlaatVorm
438	Vijfhoekig	4	DekselVorm
439	Vijzelgemaal	3	GemaalVerschijningsvorm
440	Vijzelpomp	3	PompVerschijningsvorm
441	Vlak	4	OverstortdrempelVorm
442	Vlakke bodem	3	PutBodemprofiel
443	Vlakke bodem	3	PutBodemprofiel
444	Vlakke bodem	3	PutBodemprofiel
445	Vlakke bodem met banken	3	PutBodemprofiel
446	Vlakke bodem met banken	3	PutBodemprofiel
447	Vlakke bodem met banken	3	PutBodemprofiel
448	Vlinderklep	3	MechanischeAfsluiterVerschijningsvorm
449	Vlotter	3	WaterniveaumeterVerschijningsvorm
450	Voegenkit	3	FysiekObjectVerbindingstype
451	Voetganger	4	DuikerModaliteit
452	Vogelrichtlijngebied	3	WaterbeheergebiedVerschijningsvorm
453	Volgeschuimde leiding	3	LozeLeidingVerschijningsvorm
454	Volgeschuimde put	3	LozePutVerschijningsvorm
455	Volgezande leiding	3	LozeLeidingVerschijningsvorm
456	Vrachtauto	4	DuikerModaliteit
457	Vrijverval drainagestelsel	3	DrainagestelselVerschijningsvorm
458	Vrijverval leidingsegment	3	VrijvervalTransportleidingVerschijningsvorm
459	Vrijverval transportstelsel	3	TransportstelselVerschijningsvorm
460	Vuilwaterriool	3	VrijvervalRioolleidingVerschijningsvorm
461	Vuilwaterstelsel	3	RioolstelselVerschijningsvorm
462	Wadi	3	RegenwaterbufferVerschijningsvorm
463	Wapeningsnet	3	FunderingVerschijningsvorm
464	Waterbergingsgebied	3	WaterbeheergebiedVerschijningsvorm
465	Waterwingebied	3	WaterbeheergebiedVerschijningsvorm
466	Werveloverstortput	3	RioolputVerschijningsvorm
467	Wervelput	3	RioolputVerschijningsvorm
468	Wervelstroomwaaier	3	PompTypeWaaier
469	Wikkelbuis relining	3	LiningVerschijningsvorm
470	Windketel	3	WaterslagvoorzieningVerschijningsvorm
471	Y-stuk	3	VerbindingsstukVerschijningsvorm
472	Zandvangput	3	AansluitputVerschijningsvorm
473	Zelfbindende fundering	3	FunderingVerschijningsvorm
474	Zinker	3	VrijvervalRioolleidingVerschijningsvorm
475	Zinkerput	3	RioolputVerschijningsvorm
476	Zuigerpomp	3	PompVerschijningsvorm
477	Zuiveringseenheid	3	WaterbeheergebiedVerschijningsvorm
478	Zwaar motorvoertuig (zv)	4	DuikerModaliteit
479	Zwaar wegverkeer	4	DuikerModaliteit
