ABID	A	B
656	Slibafscheider	Constructieonderdeel
657	Slibvanger	Constructieonderdeel
658	Slokop	Put
659	Sloof	Kunstwerkdeel
660	Sloot	Watergang
661	Slot	Constructieonderdeel
662	Sluis	Kunstwerk
663	Sluiscomplex	Complex
664	Sluisdeur	Kunstwerkdeel
665	Snellaadstation	Verkeerskundige zone
666	Solitaire plant	Vegetatieobject
667	Spaarbekken	Oppervlaktewater
668	Spandraad	Kabel
669	Speelheuvel	Recreatiezone
670	Speelterrein	Recreatiezone
671	Speeltoestel	Straatmeubilair
672	Spindel	Constructieonderdeel
673	Splitter	Apparaat
674	Spoelgemaal	Gemaal
675	Spoelklep	Constructieonderdeel
676	Spoelleiding	Stedelijk waterleiding
677	Spoelvoorziening	Constructieonderdeel
678	Spooras	Edge
679	Spoorbaan	Spoorzone
680	Spoorberm	Spoorzone
681	Spoorlijn	Kunstwerk
682	Spoorwegknoop	Vertex
683	Sport- en speldrainage	Stelsel
684	Sportterrein	Recreatiezone
685	Sporttoestel	Straatmeubilair
686	Sportveld	Recreatiezone
687	Sproeikop	Installatie
688	Stadsverwarming	Functioneel ondergronds object
689	Stadsverwarmingsleiding	Holle leiding
690	Standmeter	Constructieonderdeel
691	Standpijp	Stedelijk waterleiding
692	Stankfilter	Constructieonderdeel
693	Stankscherm	Constructieonderdeel
694	Stapsteen	Straatmeubilair
695	Stasteun	Straatmeubilair
696	Stationaire batterij	Installatie
697	Steenwolblok	Constructieonderdeel
698	Steenwolkoffer	Reservoir
699	Steiger	Kunstwerk
700	Stellaag	Constructieonderdeel
701	Stiltegebied	Geografische ruimte
702	Stobbenwal	Faunavoorziening
703	Stormanker	Straatmeubilair
704	Straalzender	Mast
705	Straatkolk	Put
706	Straatnaambord	Bord
707	Straatpot	Constructieonderdeel
708	Strandoriëntatiepaal	Straatmeubilair
709	Strandpaal	Straatmeubilair
710	Streek	Geografische ruimte
711	Strekdam	Kunstwerk
712	Strooiveld	Beheerzone
713	Strook	Verkeerskundige zone
714	Struiken	Groenobject
715	Stuurdraagsysteem	Straatmeubilair
716	Stuw	Kunstwerk
717	Stuwbak	Kunstwerk
718	Stuwcomplex	Complex
719	Stuwconstructie	Constructieonderdeel
720	Stuwklep	Constructieonderdeel
721	Stuwmuur	Constructieonderdeel
722	Stuwput	Rioolput
723	Stuwrioolleiding	Stedelijk waterleiding
724	Swinghulp	Straatmeubilair
725	Switch	Apparaat
726	Symboolmarkering	Wegmarkering
727	Tafel	Straatmeubilair
728	Takkenril	Faunaverblijfplaats
729	Taludgoot	Open leiding
730	Tandemriool	Stedelijk waterleiding
731	Tankstation	Verkeerskundige zone
732	Tassteun	Straatmeubilair
