FilterObjecttypeID	IMBORGUID	Filter	Objecttype	Wijzigingsdatum
1042	8b8cb736-ea31-48fd-b15f-afda4e54f006	14958	16861	null
1043	7043ef3c-e738-4a92-af92-58fe59f29b81	1082	23287	null
1044	35ea26ee-2dfc-407f-b3d8-401fc3fdf70e	23134	9411	null
1045	0cb509c7-d169-47b1-b9a8-5c16d957fe82	14992	32	null
1046	916824f7-9b87-435f-97b6-9bcd175e1d82	78	13876	null
1047	4d0757ca-d3e8-4232-ba9e-cf48cbc9a8dc	78	13896	null
1048	ace973b6-182f-4358-81e7-0b5bb2496169	14807	13433	null
1049	4f9f31fd-1195-4710-a49f-b912b5c2b2ae	216	23697	null
1050	faae3baf-37fa-456c-b8d0-1bb7300df1bd	1095	33	null
1051	3051e943-ea76-4e0e-8f81-bfdbf9b888aa	14969	13891	null
1052	e62be131-0c22-41e2-98de-c71d17280210	23134	11590	null
1053	ea3da466-d5e7-4066-a5f5-db307a691db6	14807	16628	null
1054	017e0fc7-57e1-4f3d-8cbb-76f440333f08	1093	10218	null
1055	b48c797b-1142-4ca0-9404-1873dee639e4	1095	34	null
1056	e07acd8e-ef16-4863-af82-600cd32746b5	23622	11595	null
1057	3f5cb9bb-46d6-4cc9-8938-bffc46556275	14807	13439	null
1058	e75aad49-9094-4e42-ae45-9e63ca1b73df	14938	13999	null
1059	71f1cd89-0792-4d9c-9807-2e21db2c2a7f	1087	35	null
1060	540da1cd-5aa7-4a8f-bc30-c933ac4e9783	1089	36	null
1061	f6b2994d-9651-4c47-b0b3-48baf1f1c335	1093	37	null
1062	a0f03401-958b-4233-b35d-42eaf833d481	1089	38	null
1063	898f1331-fb09-44f4-821b-cec83d24aae8	1089	39	null
1064	bb8b4cec-d7c1-4d5d-9179-18a09abfa3dd	1095	9668	null
1065	717d3a4e-7941-4541-9a6b-f25603e75a59	1089	40	null
1066	03a215c3-ebf2-4517-a074-0a9279b47f1e	16548	16550	null
1067	51f9d07b-79b8-4630-91c1-130b13b8a384	91	8790	null
1068	8add1a89-ddbc-4ec8-8da3-391f681db966	14967	41	null
1069	724b4581-b891-4db8-a4b4-401b683d4da9	101	14818	null
1070	1d91415e-d45e-4d25-8176-540c0962233e	101	8917	null
1071	ffb45ebd-4727-420f-997e-b225d6c80c96	14965	9703	null
1072	60d25167-3060-4a90-9482-f587a09f266f	23580	15512	null
1073	371b2429-16e2-4c0b-bf8b-404f93cbeb95	14967	15227	null
1074	bdb63a48-00b3-4c4a-867a-a588b423df7f	101	8620	null
1075	74cdd8ea-dca0-40ea-b12d-302038b6adb4	14969	42	null
1076	cf594ecb-549f-473b-ac44-35581d7b45f9	14962	10485	null
1077	d489b301-47af-4d82-87cf-f6d9e12247fc	1090	43	null
1078	0d5a888b-2825-4a55-b539-9f893488d670	1090	44	null
1079	98762a0e-d342-4c0d-8f38-3dc8449b3478	1089	45	null
1080	9a3ec8ee-00d6-49ae-aaf2-783866126c40	78	9379	null
1081	5408ed48-0fdb-4bf5-b92b-14401c17e2e9	303	8980	null
1082	3782f965-4d61-47bd-a03a-f5bcce169366	14807	23147	null
1083	b6915e73-0203-477f-966b-0784ba2e069e	14807	10560	null
1084	61aa8ed5-4f81-40f9-87be-16570c959b8d	14989	16626	null
1085	e7706929-54a3-49c0-b03e-a42028e907f3	14808	10405	null
1086	cea53c14-01a3-416e-bc9d-2b653167abeb	14965	9548	null
1087	c1ef0523-d4c4-4a0d-be9a-2f9b86846a51	14961	14134	null
1088	965d7ef1-a706-4498-bd18-e54ebed3e435	14962	14135	null
1089	d960e8f7-ea9a-42c3-9872-dca6917b08f2	14961	21561	null
1090	7da7f7db-ba7d-4249-9cdb-3f1f45162053	1091	48	null
1091	623a8788-c8ce-4d38-a0e8-f042bef5eeb6	14808	9585	null
1092	ae942bb9-9af0-4db0-9965-96c36538f66f	14961	8338	null
1093	a2b03dee-37c4-4da9-bf98-dcd922eeeb90	14958	49	null
1094	0cfa9e3d-7cfb-4f63-91ec-4f73fec280ac	14965	9549	null
1095	61721b1f-d7e7-4f9b-86b0-1dc457f83984	14961	50	null
1096	3f788bac-d6e6-4071-9f45-f30c71400962	14808	11838	null
1097	1a1dabd4-a0dd-41cd-9a37-481eada0785e	14808	15451	null
1098	c5871f02-bf09-47df-8947-3bb68f65d232	14969	8781	null
1099	26f8e338-5c39-477b-a284-d6210a8f75a4	14800	51	null
1100	225151c6-1925-4494-b546-f821c6a4917b	14992	15559	null
1101	929a3a66-85c3-482c-bd76-451a118ea56b	1089	11181	null
1102	018eab87-0210-4ca4-b621-b6114161fa8a	1089	11175	null
1103	9890fd52-7fc0-48b1-ae61-057468b514bf	14807	23140	null
1104	15e63b9d-570a-41c5-8270-f60d53cca80b	120	10249	null
1105	4e752722-022c-48cd-85f6-68c154f58362	14808	14991	null
1106	2f9df2b7-ffe9-415a-92bb-7f9051143253	1082	23288	null
1107	fb2ad893-2c52-49bc-8698-50a5afdccbed	16548	16535	null
1108	ebc9265a-059c-48fd-a906-9ab7f58ea214	23114	7744	null
1109	2e903d18-c1c3-47fd-8806-477195eb2bc3	14807	16627	null
1110	f74b56f4-e23c-49b6-af44-f73e5844cb85	16548	16541	null
1111	6049b801-c604-4471-893a-a859de733d48	14469	14993	null
1112	38f06a5b-8e57-402c-b3bb-c1a93a32d37b	16548	16542	null
1113	c64f1030-19d6-41c2-b843-170a4154efce	1080	53	null
1114	b68e1738-960b-481a-ab07-c99fd3710aa5	1090	21630	null
1115	dea40e75-0851-4ce8-8964-fc9e2f6adaf2	16548	16540	null
1116	f2066d7a-569b-40b8-986a-edd3a25bc0c5	16548	16539	null
1117	8cab3447-9f5e-47d7-a611-4b454f001a71	1087	54	null
1118	c3ab50f3-1c02-4620-bf6e-bc45d353c4e2	14978	14980	null
1119	15341f67-3b16-4300-8a56-a5bbf8facf1f	23580	11149	null
1120	515d9716-4349-4c04-97ba-d55ea77a9528	14967	15253	null
1121	9a0b3a0d-3f7b-46cc-939b-bb38469aa6aa	1087	55	null
1122	5a125124-cf7a-42b0-99d6-0dfac70e6ad7	1087	56	null
1123	1e3644b3-64dc-470d-a802-c04afbd0ce54	78	9378	null
1124	2ef3ddf6-01ad-4fe2-a252-d9c336e55ddd	120	10250	null
1125	a5739ae0-8783-4720-94f5-254862f4338b	14958	57	null
1126	2d9352c4-dd89-4336-a68a-72ea7be98824	14807	9739	null
1127	7d519c4b-2e72-48fa-a07c-474088a54771	14978	58	null
1128	1bd255b3-3974-4c8d-85d4-b906dbc59504	14955	9750	null
1129	79b40db8-5d3c-441a-bfd3-a114b8a03564	79	11883	null
1130	d5d8d90e-c9fe-4ef3-81ce-84faeddb592c	14958	9555	null
1132	f37dd785-0bac-46e2-bac2-fb3cf80cd67d	14807	15255	null
1133	dc7ee87c-7362-498b-8af3-1e3489afc94d	14965	8284	null
1134	92323e96-aaac-47bd-9dd9-961ed0278418	14807	14917	null
1135	5436cdf2-9f07-4320-b134-6ab5d80c7ced	14988	14000	null
1136	ed5b4c43-6b44-4863-8600-589e94bf9bcc	1087	14910	null
1137	b00af6ec-2e01-4049-82dd-7bacc3eff476	14800	10817	null
1138	3fbd2324-d4b4-4a2a-a768-a2fdb63fea08	1089	60	null
1139	c79746f6-8bd1-4c28-a7dd-38dec41f9a5c	23622	11888	null
1140	345d9173-eb54-4ec2-a5e1-5b8732117307	23592	13452	null
1141	65b31a2b-fb65-4c62-a9fd-70098dad82fa	1083	14803	null
1142	efa8edf0-19bb-4312-9642-522f012a82be	216	10434	null
1143	a17a472c-1628-4d3b-aed5-7b4526c2062d	216	10427	null
1144	96366243-8c3c-4232-b941-1c15583a8f31	14961	8339	null
1145	2ccc5d1a-f6ed-45ae-956c-0b140a7089f9	1090	61	null
1146	1bf4fb31-1ba6-47eb-9ed7-bf6e34a84771	1089	62	null
1147	e063c799-571f-4f08-8a04-af017fec98ef	23622	63	null
1148	3669ef28-febd-4633-954c-36c43a65cb14	23622	23689	null
1149	a239908d-892d-4eee-9c51-a4d0c5542e1a	23580	21602	null
1150	e4e5ba0d-e034-4b12-9bf9-551f46b86383	23580	23582	null
1151	a6baba65-34a8-49ee-bb35-5d485b79b05c	91	11191	null
1152	f2edceec-e32c-48f5-b168-65ce59dd0f94	1090	64	null
1153	0b6485a6-b869-4264-8d17-e60d7ea821c5	14807	10570	null
1154	52f87427-f10d-4ca4-b612-d320947714c6	14807	14918	null
1155	b340d7a9-ea4d-4712-a7a8-459fea02aaa6	1094	65	null
1156	ad6d9baa-b7ab-4bef-a33c-9424bf7a1e53	1093	66	null
1157	a38917aa-554f-4220-a0fb-a061e01f3fef	1080	67	null
1158	9e1d0903-9cee-4a36-86d5-915c7f12da90	1087	68	null
1159	2869edc4-176d-4dbc-a608-3ac8d2e49919	1089	69	null
1160	35104348-f64a-4f15-9e9f-d9d04a9da4c8	14958	70	null
1161	9a9292a0-a77b-435c-aca2-81633c75d9e0	23622	11913	null
1162	70af17c3-19a2-421f-ab55-387df50d4218	14958	71	null
1163	6dbb78cb-7f3f-45ec-b783-2e0bf3096c7e	23622	11152	null
1164	8e351174-09fb-4231-9041-5ac6b3b49364	14969	8782	null
1165	78e9d2f5-ea47-4339-a5ec-d3d846e96d11	23622	11914	null
1166	30daee7b-7b68-4fc7-9c10-6e33a5bda1a2	14807	13490	null
1167	b8fe7b26-4c10-49db-a543-8812483be013	1089	72	null
1168	d12dc743-ed1a-4193-bd64-0aa949a4b2b8	23622	73	null
1169	401e4260-80c7-4433-b377-8721f78c4188	1090	23151	null
1170	95ddc7a2-838d-4c7b-b2dd-7127f04e8ac2	23580	15506	null
1171	671b09b1-a483-4920-8b93-7a46ea3ffd62	14807	9736	null
1172	07cf0cd9-2146-4967-8c87-0c583eed72ff	101	8623	null
1173	2ad4e333-f47a-4005-adf9-b3bdc1404774	23592	13493	null
1174	c37cc2f2-9ebb-4792-a41e-21a608f941d3	91	11192	null
1175	53f9fa65-ce47-4abd-8796-b71d28a8492f	23622	11924	null
1176	6bcbd663-1c12-47cc-b90f-cf3a4d8befbe	91	11193	null
1177	3c3d5a51-ec08-4da9-a03e-494c15aa5e2e	1087	10576	null
1178	e996662d-fb5d-42f7-9a1e-5a879b2a7d05	14450	74	null
1179	01cda077-ce59-4000-a5d7-9b9d22caab90	14979	14624	null
1180	729bc889-2dc0-4999-854c-e43da5f3db2b	79	14620	null
1181	9b25eef6-9e3c-4b3f-8201-b07fb0e90e35	78	9377	null
1182	9c5cd971-11f4-4975-8a12-2c7594ce8733	14992	75	null
1183	c3900298-c7e7-491c-adde-1d105eb75875	273	14813	null
1184	c59e3628-cff0-4983-829d-3f974574acf9	14963	15385	null
1185	e27f636c-0538-40e0-b1d4-90794a36b8b2	14807	10580	null
