Parent;Child
Fietsparkeervoorziening;Fietssleuf
Sensor;Fietssnelheidsindicator
Fietsparkeervoorziening;Fietstrommel
Weginrichtingsobject;Fietsvlonder
Sensor;Fijnstofsensor
Informatiepaneel;Filemeldsysteem
Put;Filterput
Gemaal;First flush gemaal
Sporttoestel;Fitnesstoestel
Functie;Fixeren putdeksel
Paal;Flespaal
Constructieonderdeel;Flexibel zettingsstuk
Installatie;Flitspaal
InformatieObject;Flora en fauna-informatie
Steen;Flowblock
Markeringmateriaal;Fluorescerend Diamond Grade retroreflecterende folie
Overbrugging;Flyover
Constructieonderdeel;Folie
Waterstaatkundig kunstwerk;Fontein
Gebouw;Fort
Slak;Fosforslakmengsel
Aansluiting;Foutaansluiting
Natuursteen;Franse kalksteen
Hout;Franse schors
Elektronisch component;Frequentie-omvormer
Groenobject;Fruit- of kweekbomen
Fruit- of kweekbomen;Fruitkwekerij
Activiteit;Functie
FunctioneleEntiteit;Functie
Functionele ruimte;Functioneel gebouwobject
Functionele zonering;Functioneel ondergronds object
Functionele zonering;Functioneel rioleringsobject
Virtuele ruimte;Functionele ruimte
Functionele ruimte;Functionele zonering
Fundering;Fundatieplaat
Constructieonderdeel;Fundering
Fundering;Fundering onderheid
Fundering;Fundering onderheid op kleef
Fundering;Fundering onderheid stuit
Fundering;Fundering op staal
Object;FysiekObject
Overig materiaal;Gaas
Biodivers materiaal;Gaas met dood plantenmateriaal
Biodivers materiaal;Gaas met kokosmat
Biodivers materiaal;Gaas met kunstmatig substraat
Hek;Gaashek
Faunaverblijfplaats;Ganzennest
Gebouw;Garage
Kast;Gaskast
Holle leiding;Gasleiding
Markeringspaal;Gaslocatiepaal
Gebouw;Gasontvangststation
Put;Gasput
Metaal;Geanodiseerd aluminium
Steen;Gebakken steen
Representatie fysiek object;Gebiedsoriëntatie
Beheerzone;Geboortebos
Constructie;Gebouw
Constructie;Gebouwcomponent
Functioneel gebouwobject;Gebouwzone
Functie;Gebruik door beroepsvaart
Functie;Gebruik door pleziervaart
Functionele zonering;Gebruikszone water
Kolk;Gecombineerde straat-trottoirkolk
Loze leiding;Gedammerde leiding
Herdenkingsmonument;Gedenksteen
Staal;Geëmailleerd staal
Functie;Geen functie
Rol;Gegevensbeheerder
Glas;Gehard spiegelglas
Bebouwingskern;Gehucht
Hout;Gekleurd en verduurzaamd geschredderd hout
Geleideconstructie;Geleideband
Geleideconstructie;Geleidebarrier
Weginrichtingsobject;Geleideconstructie
Hek;Geleidehek
Functie;Geleiden van de afvoer van het afvalwater
Functie;Geleiden van elektronen
Functie;Geleiden van fauna
Functie;Geleiden van treinen
Geleideconstructie;Geleiderail
Waterinrichtingsobject;Geleidewerk
Kast;Geluidskast
Scheiding;Geluidsscherm
Sensor;Geluidssensor
Bouwwerk;Gemaal
Rioolgemaal;Gemaal droge opstelling
Rioolgemaal;Gemaal natte opstelling
Complex;Gemaalcomplex
Gebouw;Gemaalgebouw
Publiekrechtelijk rechtspersoon;Gemeente
Registratieve ruimte;Gemeentegrens
Weg;Gemeenteweg
Bos;Gemengd bos
Vrijverval rioolleiding;Gemengd riool
Vrijverval rioolstelsel;Gemengd rioolstelsel
Perceelaansluitleiding;Gemengde perceelaansluitleiding
Virtuele ruimte;Geografische ruimte
InformatieObject;Geometrische representatie
FysiekObject;Geo-object
Overig materiaal;Geopolymeer
Textiel;Geotextiel
Markeringmateriaal;Geprofileerd markeringsmateriaal
Straatmeubilair;Gereedschapsrek
Systeem;Gescheiden systeem
Beton;Gespoten beton
Vrijverval rioolstelsel;Gestuwd rioolstelsel
Oppervlaktewater;Getijdengebied
Detector;Gevaarlijke stoffendetectiesysteem
Beheerzone;Gevaarlijke stoffenzone
Gebouw;Gevangenis
Spoorzone;Gevarenzone
Vegetatieobject;Gevelgroen
Vegetatieobject;Geveltuin
Metaal;Gewapend aluminium
Beton;Gewapend beton
Materie;Gietijzer
Bak;Gistingstank
Staal;Glad staal
Materie;Glas
Vezels;Glasvezel
Kunststof;Glasvezel versterkte kunststof
Gebouw;Glasvezelstation
Speeltoestel;Glijbaan
Kunstwerk;Glooiing
Geometrische representatie;GM_Curve
Geometrische representatie;GM_MultiPoint
Geometrische representatie;GM_MultiSurface
Geometrische representatie;GM_Point
Geometrische representatie;GM_Surface
Kast;GMS-kast
Sensor;GMS-sensor
Sportveld;Golfbaan
Sportveld;Golfbaanonderdeel
Straatmeubilair;Golfbaanvoorziening
Kunstwerk;Golfbreker
Golfbaanvoorziening;Golfdoel
Sportterrein;Golfterrein
Open leiding;Goot
Watergang;Gracht
Straatmeubilair;Graf
Informatiepaneel;Grafisch informatiepaneel
Herdenkingsmonument;Grafmonument
Grafvoorziening;Grafsteen
Beheerzone;Grafvak
Markeringspaal;Grafvakpaal
Beheerzone;Grafveld
Straatmeubilair;Grafvoorziening
Natuursteen;Graniet
Natuursteen;Graniet Bleu de Lanhelin-Frankrijk
Natuursteen;Graniet Bleu Orient-China
Natuursteen;Graniet Braga-Portugal
Natuursteen;Graniet Roriz-Portugal
Materie;Granulaat
Tegel;Gras- en grindtegel
Groenobject;Gras- en kruidachtigen
Golfbaanvoorziening;Grasafslaggeleider
Beton;Grasbetonsteen
Fundering;Grasfundatie
Grind;Gravel
Sportvoorziening;Gravelbak
Functie;Graven herbergen
Markeringspaal;Grensmarkering
Oppervlaktewater;Greppel
Keramiek;Gres
Gietijzer;Grijs gietijzer
Materie;Grind
Infiltratiereservoir;Grindkoffer
Tegel;Grindtegel
Overig materiaal;Gritlaag
Reëel object;Groeiplaats
DiscreetObject;Groeiplaats
InformatieObject;Groeiplaats-bijzonderheid
InformatieObject;Groeiplaatsconstructie-informatie
InformatieObject;Groenbeheer-informatie
Informatiepaneel;Groene golfsignaalgever
Begroeiing;Groenobject
Apparaat;Groep
Materie;Grond
Dam;Gronddam
Stuw;Gronddamstuw
Kering;Grondkering
Geografische ruimte;Grondsoort
Armatuur;Grondspot
Fundering;Grondverbetering
Systeem;Grondwatermeetnet
Meetpunt;Grondwatermeetpunt
Systeem;Grondwatersysteem
Cement;Grout
Groenobject;Haag
Edge;Haagas
Verharding;Halfverharding
Golfbaanvoorziening;Half-way house
Informatiebord;Haltebord
OV-voorziening;Halte-eiland
OV-voorziening;Haltekom
Verkeerskundige zone;Halteplaats
OV-voorziening;Haltevoetpad
Sportveld;Handbalveld
Installatie;Handhavingssysteem
Gebouw;Hangar
Hout;Hardhout
Natuursteen;Hardsteen
Watervlakte;Haven
Complex;Havencomplex
Informatiebord;Havennummerbord
Weg;Havenweg
Kunststof;HDPE
Paal;Hectometerpaal
Groenobject;Heesters
Groenobject;Heide
Scheiding;Hek
Armatuur;Helipanlicht
Gebouwcomponent;Hellingbaan
IBA;Helofytenfilter
Functie;Hemelwater afvoeren naar ondergrond
Vrijverval rioolleiding;Hemelwaterriool
Vrijverval rioolstelsel;Hemelwaterstelsel
Straatmeubilair;Herdenkingsmonument
Recreatiezone;Hertenkamp
Holle leiding;Hevel
Stuw;Hevelstuw
Markeringmateriaal;High Intensity Prismatic retroreflecterende folie
Functie;Hijsen
Constructieonderdeel;Hijsinrichting
Sportveld;Hockeyveld
Golfbaanvoorziening;Holevlag
Leiding;Holle leiding
